adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/kxQiIJ4gVcD3K6o14MJ72p5yRcE.jpg,"[10751, 35, 12, 14, 16]",1226863,en,The Super Mario Galaxy Movie,面對反派勢力再度崛起，瑪利歐也為蘑菇王國挺身而出迎戰，大喊：「先過我這一關！」碧姬公主則與奇諾比奧迅速打包啟程，前往銀河尋找羅潔塔公主；一群色彩繽紛又可愛的奇可也加入行列。,828.4621,/yAI5H1T6qzFPHml5PFC7rthjRU3.jpg,2026-04-01,超級瑪利歐銀河電影版,False,6.8,521
False,/1x9e0qWonw634NhIsRdvnneeqvN.jpg,"[10749, 18]",1523145,ru,Твоё сердце будет разбито,,434.1481,/iGpMm603GUKH2SiXB2S5m4sZ17t.jpg,2026-03-26,Твоё сердце будет разбито,False,7.094,65
False,/u8DU5fkLoM5tTRukzPC31oGPxaQ.jpg,"[878, 12, 14]",83533,en,Avatar: Fire and Ash,這次的故事敘述從人類歸化納美族並當上首領的傑克蘇里、妻子納美戰士奈蒂莉及蘇里的家人一同，在經歷奮戰與傷痛後，依然必須展開全新冒險，也將面臨新登場反派的威脅。,329.658,/wCqdYTvQSNITnTUrJ5xwzSMrAB1.jpg,2025-12-17,阿凡達：火與燼,False,7.372,2645
False,/8Tfys3mDZVp4tNoH2ktm06a0Tau.jpg,"[878, 12]",687163,en,Project Hail Mary,科學老師萊倫格雷斯在一艘距離地球好幾光年的太空船上醒來，卻對自己的身分和來到這裡的原因一無所知。隨著記憶逐漸恢復，他開始揭開任務的真相，解開一種神祕物質導致太陽衰亡的謎團。他必須運用自己的科學知識與創意想法，拯救地球的滅絕危機……但一位意料之外的訪客，讓他或許不用獨自奮鬥。,262.4292,/aHFJ7HM6Gly2KFqs8MaIXoOseii.jpg,2026-03-15,極限返航,False,8.216,1561
False,/sS3zGYFPcfM5pArVNWl6qLyaSmU.jpg,"[16, 28, 12, 14]",980431,en,"Avatar: Aang, The Last Airbender",安，意外得知一股古老力量，或許能拯救他的族群免於滅絕。在夥伴們的協助下，他踏上一段橫跨世界的尋找之旅，試圖在這股力量落入歹人之手、威脅到他們傾盡一切才換來的和平之前，搶先找到它。,316.0527,/gPiyTLo5GGwtJl0L8TlaJF9r0KE.jpg,2026-10-09,降世神通：最後的氣宗,False,0.0,0
False,/gM1kQRPwOVW1Eos5tVWqcYmHR5S.jpg,"[27, 9648]",1470130,en,The Mortuary Assistant,殯葬學畢業生麗貝卡·歐文斯在河畔殯儀館找到一份夜班工作。這份工作起初看似平常，但很快便變得詭異起來，她開始面對可怕的超自然力量。,263.8668,/72AoFPC5TY4DfJwXXS9rPwPeReD.jpg,2026-02-13,停屍間助手,False,5.421,76
False,/u53UYu5XG2hNgWGvs3xGhAVzypl.jpg,"[16, 10751, 878, 35, 12]",1327819,en,Hoppers,熱愛動物的梅寶逮到了一個機會，藉由新科技讓意識進入到栩栩如生的機器動物身上。有了能夠和動物溝通的新能力，她在自家後院揭開了一個連作夢也想不到的神祕世界。,226.1527,/k27kmEQvkMHvx9R4hIPXg2opOOi.jpg,2026-03-04,狸想世界,False,7.586,482
False,/3ooXDVaz4xHKtwe4lkmF1gNopOC.jpg,"[27, 53]",1290417,en,Thrash,在一場毀滅性的颶風中，一個沿海小鎮正奮力對抗大自然的憤怒以及鯊魚的襲擊。在傾盆大雨、飛散的殘骸和伸手不見五指的黑暗中，他們團結一心，勇敢面對致命的掠食者，努力在風暴中生存下來。,206.5751,/nSo9ppiNfAOHFRlZPVQlx0W4fzD.jpg,2026-04-10,狂鯊風暴,False,5.999,341
False,/bYkgJUGlkDrKzCrN6Jrd1qVx9aB.jpg,"[35, 10749]",20222,es,Sexo con amor,,286.2109,/9hpzzyMiVSHvoX9HHa3yG6d1Jb9.jpg,2003-03-27,Sexo con amor,False,6.519,241
False,/jRsjWwZzI39bTm44FNhRtiICd9k.jpg,"[35, 28, 12]",1084577,en,Balls Up,在這部重口味、尺度炸裂的喜劇中，行銷專員布萊德 與伊萊賈 放手一搏，大膽提案讓全方位包覆保險套品牌冠名贊助世界盃。沒想到兩人在巴西的酒醉狂歡引爆全球醜聞。暴怒球迷、窮凶惡極的罪犯、權欲薰心的官員接連殺來。兩人只能亡命天涯，拚了老命也要保住飯碗、平安返家。,214.69,/bW5USzie3abCz9RO0gMwakrSxWG.jpg,2026-04-15,凸槌拍檔,False,5.442,78
False,/nHxWyy18SvAZ8jJeemtS8k1UNjM.jpg,"[28, 80, 53]",1290821,en,Shelter,一名隱居在蘇格蘭偏遠小島的男子，遠離現代社會不與外界接觸，卻在拯救一名落海的少女後，引發了一連串危機，並導致他的住處小島遭到襲擊，這迫使他面對自己的過往並作出反擊。,217.5428,/x6XQgaPlE3QuW9pW0ETX6fmDZwi.jpg,2026-01-28,天眼浩劫,False,6.8,566
